Sr No,State,Constituency,Candidate Name,Party Name,EVM Votes,Postal Votes,Total Votes,Percent Votes
9,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,ROHAN SATONE,Independent,1476,3,1479,0.15
10,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,ADV. SANJEEVKUMAR APPARAV KALKORI,Independent,1184,13,1197,0.13
11,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,ADV. LATA PANDURANG SHINDE,Independent,1152,2,1154,0.12
12,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,MANOJ SHRAVAN NAYAK,Right to Recall Party,1132,17,1149,0.12
13,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,HRUDA DHANANJAY SHINDE,Independent,1066,12,1078,0.11
14,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,BHARAT KHIMJI SHAH,Hindu Samaj Party,932,5,937,0.1
15,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,SUSHMA DAYANAND MEHTA,Independent,875,7,882,0.09
16,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,ADVOCATE KAPIL KANTILAL SONI,Independent,776,4,780,0.08
17,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,SARIKA DABRAL,India Greens Party,760,8,768,0.08
18,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,GAJANAN TUKARAM SONKAMBLE,Independent,496,5,501,0.05
19,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,ADV MITESH VARSHNEY,Bhim Sena,492,5,497,0.05
20,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,HARISHANKAR YADAV,Samaj Vikas Kranti Party,398,7,405,0.04
21,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,SANTOSH MANIK RAYBAN,Independent,234,-,234,0.02
22,Maharashtra,Parliamentary  Constituency  27 - Mumbai North West (Maharashtra) ,NOTA,None of the Above,15036,125,15161,1.59
1,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),393735,1920,395655,51.18
2,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,YAMINI YASHWANT JADHAV,Shiv Sena,341291,1691,342982,44.36
3,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,AFZAL S. DAWOODANI,Vanchit Bahujan  Aaghadi,5575,37,5612,0.73
4,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,MOHAMMED SHUAIB BASHIR KHATEEB,Bahujan Samaj Party,4440,38,4478,0.58
5,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,ARVIND NARAYAN SAWANT,Independent,3065,25,3090,0.4
6,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,MOHD. NAEEM SHAIKH,Aim Political Party,1709,6,1715,0.22
7,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,SABEEHA KHAN,Independent,1678,16,1694,0.22
8,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,GOHIL MANISHA SHIVRAM,Independent,1032,13,1045,0.14
9,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,SHANKAR SONAWANE,Independent,854,8,862,0.11
10,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,RAHUL PHANASWADIKAR,Lokshahi Ekta Party,784,3,787,0.1
11,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,SUBHASH RAMESH CHIPLUNKAR,Rashtriya Kisan Bahujan Party,563,4,567,0.07
12,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,PRASHANT PRAKASH GHADGE,Independent,487,3,490,0.06
13,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,MOHAMMED MAHTAB SHAIKH,Independent,455,3,458,0.06
14,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,MATEEN AHMED RANGREJ,Independent,265,2,267,0.03
15,Maharashtra,Parliamentary  Constituency  31 - Mumbai South (Maharashtra) ,NOTA,None of the Above,13290,121,13411,1.73
1,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),393342,1796,395138,49.73
2,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,RAHUL RAMESH SHEWALE,Shiv Sena,339828,1926,341754,43.01
3,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,ABUL HASAN ALI HASAN KHAN,Vanchit Bahujan  Aaghadi,23675,192,23867,3
4,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,VIDHYASAGAR ALIAS SURESH BHIMRAO VIDHYAGAR,Bahujan Samaj Party,6462,70,6532,0.82
5,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,AKASH LAXMAN KHARATMAL,Independent,1891,8,1899,0.24
6,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,ASHWINI KUMAR PATHAK,Independent,1607,5,1612,0.2
7,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,ADV. SANTOSH PUNJIRAM SANJKAR,Independent,1565,13,1578,0.2
8,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,KARAM HUSSAIN KITABULLAH KHAN,Peace Party,1533,4,1537,0.19
9,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,ADV. MAHENDRA TULSHIRAM BHINGARDIVE,Right to Recall Party,1414,30,1444,0.18
10,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,SAEED CHOUDHARY,Social Democratic Party Of India,1186,5,1191,0.15
11,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,ISHWAR VILAS TATHAWADE,Rashtriya Mahaswaraj Bhumi Party,968,3,971,0.12
12,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,DEEPAK M. CHAUGULE,Bahujan Republican  Socialist Party,968,7,975,0.12
13,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,JAHID ALI NASIR AHMED SHAIKH,Aazad Samaj Party (Kanshi Ram),957,2,959,0.12
14,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,DR. ARJUN MAHADEO MURUDKAR,Bharatheeya Jawan Kisan Party,913,17,930,0.12
15,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,VIVEK YESHWANT PATIL,Independent,713,1,714,0.09
16,Maharashtra,Parliamentary  Constituency  30 - Mumbai South Central (Maharashtra) ,NOTA,None of the Above,13316,107,13423,1.69
1,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,NITIN JAIRAM GADKARI,Bharatiya Janata Party,652809,2218,655027,54.08
2,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,VIKAS THAKRE,Indian National Congress,515941,1483,517424,42.72
3,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,YOGIRAJ ALIAS YOGESH PATIRAM LANJEWAR,Bahujan Samaj Party,19164,78,19242,1.59
4,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,KIVINSUKA VIRENDRA SURYAVANSHI,Desh Janhit Party,2055,4,2059,0.17
5,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,ADARSH RAVISHANKAR THAKUR,Independent,1749,1,1750,0.14
6,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,ADV ULHAS SHALIKRAM DUPARE,Independent,1346,2,1348,0.11
7,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,FAHIM SHAMIM KHAN,Minorities Democratic Party,1072,1,1073,0.09
8,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,SURAJ BALRAM MISHRA,Kunbi Bahujan Sawrajya Party,814,3,817,0.07
9,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,TEKRAJ BELKHODE,Independent,803,5,808,0.07
10,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,GARUDADRI ANAND KUMAR,Akhil Bhartiya Parivar Party,719,1,720,0.06
11,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,DHANU WALTHARE,Independent,690,2,692,0.06
12,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,VIJAY MANKAR,Ambedkarite Party of India,606,4,610,0.05
13,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,ADV. SANTOSH RAMKRISHNA LANJEWAR,All India Forward Bloc,565,2,567,0.05
14,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,VISHESH VASANTA FUTANE,Bahujan Republican  Socialist Party,559,3,562,0.05
15,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,GUNWANT HARICHANDRA SOMKUWAR,Bharatheeya Jawan Kisan Party,465,6,471,0.04
16,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,SHRIDHAR NARAYAN SALVE,Bhim Sena,447,4,451,0.04
17,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,SUNIL WANKHEDE,Rashtra Samarpan Party,320,2,322,0.03
18,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,DIPAK LAXMANRAO MASKE,Bahujan Maha Party,267,3,270,0.02
19,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,NARAYAN TUKARAM CHOUDHARI,Socialist Unity Centre Of India (COMMUNIST),251,-,251,0.02
20,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,SANTOSH TULSHIRAM CHAVHAN,Independent,242,-,242,0.02
21,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,SUSHIL PATIL,Independent,236,1,237,0.02
22,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,SACHIN RAMKRUSHNARAO WAGHADE,Independent,202,-,202,0.02
23,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,PRAFUL MANIKCHAND BHANGE,Independent,201,-,201,0.02
24,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,VINAYAK BHAURAO AWCHAT,Independent,190,-,190,0.02
25,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,BABITA RAJU AWASTHI,Independent,179,3,182,0.02
26,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,SAHIL BALCHAND TURKAR,Independent,129,-,129,0.01
27,Maharashtra,Parliamentary  Constituency  10 - Nagpur (Maharashtra) ,NOTA,None of the Above,5434,40,5474,0.45
1,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,526865,2029,528894,46.88
2,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,467452,2000,469452,41.61
3,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,AVINASH VISHWANATH BHOSIKAR,Vanchit Bahujan  Aaghadi,92090,422,92512,8.2
4,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,PANDURANG RAMA ADGULWAR,Bahujan Samaj Party,6879,22,6901,0.61
5,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,NIKHIL LAXMANRAO GARJE,Independent,4320,5,4325,0.38
6,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,NAGESH SAMBHAJI GAIKWAD,Independent,3316,2,3318,0.29
7,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,BHASKAR CHAMPATRAO DOIFODE,Independent,2078,2,2080,0.18
8,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,SUSHILA NILKANTHRAO PAWAR,Samnak Janta Party,1873,17,1890,0.17
9,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,ABDUL RAIS AHEMAD,Desh Janhit Party,1508,2,1510,0.13
10,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,DEVIDAS GOVINDRAO INGLE,Independent,1466,5,1471,0.13
11,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,KALPANA SANJAY GAIKWAD,Independent,1305,5,1310,0.12
12,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,KAUSAR SULTANA,Indian National League,1211,4,1215,0.11
13,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,SAHEBRAO BHIVA GAJBHARE,Independent,1189,4,1193,0.11
14,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,JAGDISH LAXMAN POTRE,Independent,960,3,963,0.09
15,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,GAJANAN DATTRAMJI DHUMAL,Independent,948,2,950,0.08
16,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,LAXMAN NAGORAO PATIL,Independent,921,2,923,0.08
17,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,MAHARUDRA KESHAV POPLAITKAR,Independent,911,2,913,0.08
18,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,RUKMINBAI SHANKARRAO GITE,Bharatiya Praja Surajya Paksha,897,6,903,0.08
19,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,HARI PIRAJI BOYALE,Bahujan Bharat Party,877,1,878,0.08
20,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,RATHOD SURESH GOPINATH,Independent,806,2,808,0.07
21,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,KADAM SURAJ DEVENDRA,Independent,796,3,799,0.07
22,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,RAHUL SURYAKANT YANGADE,Bahujan Mukti Party,734,3,737,0.07
23,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,DNYANESHWAR RAOSAHEB KAPATE,Independent,679,2,681,0.06
24,Maharashtra,Parliamentary  Constituency  16 - Nanded (Maharashtra) ,NOTA,None of the Above,3579,49,3628,0.32
1,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,ADV GOWAAL KAGADA PADAVI,Indian National Congress,744879,1119,745998,53.53
2,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,585847,1031,586878,42.11
3,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,ANANDA SUKALAL KOLI,Bahujan Samaj Party,10628,16,10644,0.76
4,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,SUSHILKUMAR JAHANGIR PAWARA,Independent,8878,9,8887,0.64
5,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,NIRMALA VASAVE,Peoples Party of India (Democratic),6923,24,6947,0.5
6,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,ROHIDAS GEMAJI VALVI,Independent,4941,6,4947,0.35
7,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,HEMANT MANSARAM KOLI,Vanchit Bahujan  Aaghadi,4062,19,4081,0.29
8,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,DEEPAKKUMAR MADHUKAR SHIRSATH,Independent,3567,4,3571,0.26
9,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,RAVINDRA RANJIT VALVI,Bharat Adivasi Party,2608,17,2625,0.19
10,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,JALAMSING SUTUM PAWAR,Independent,2583,4,2587,0.19
11,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,GITANJALI SHASHIKANT KOLI,Independent,2372,9,2381,0.17
12,Maharashtra,Parliamentary  Constituency  1 - Nandurbar (Maharashtra) ,NOTA,None of the Above,14108,15,14123,1.01
1,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),614517,2212,616729,49.85
2,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,GODSE HEMANT TUKARAM,Shiv Sena,453414,1314,454728,36.75
3,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,KARAN PANDHARINATH GAIKAR,Vanchit Bahujan  Aaghadi,47114,79,47193,3.81
4,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,SHANTIGIRIJI MAUNGIRIJI MAHARAJ,Independent,44415,109,44524,3.6
5,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,ARUN MADHUKAR KALE,Bahujan Samaj Party,7698,53,7751,0.63
6,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,CHANDRAKANT KESHAVRAO THAKUR,Independent,6607,1,6608,0.53
7,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,AMOL SAMPATRAO KAMBLE,Rashtriya Kisan Bahujan Party,4980,17,4997,0.4
8,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,DARSHANA AMOL MEDHE,Prabuddha Republican Party,4730,6,4736,0.38
9,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,KANOJE PRAKASH GIRDHARI,Independent,3917,3,3920,0.32
10,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,VAMAN MAHADEV SANGALE,Dharmarajya Paksha,3861,-,3861,0.31
11,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,SUDHIR SHRIDHAR DESHMUKH,Independent,3162,5,3167,0.26
12,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,JITENDRA NARESH BHABHE (JITENDRA BHAVE),Independent,3125,7,3132,0.25
13,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,ARIF USMAN MANSURI,Independent,2538,5,2543,0.21
14,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,GANESH BALASAHEB BORASTE,Independent,2403,1,2404,0.19
15,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,JAYSHRI MAHENDRA PATIL,Sainik Samaj Party,2398,28,2426,0.2
16,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,SIDDHESHWARANAND SARASWATI,Independent,2378,10,2388,0.19
17,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,SUSHAMA ABHIJIT GORANE,Independent,2258,2,2260,0.18
18,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,KANTILAL KISAN JADHAV,Ambedkarite Party of India,2047,8,2055,0.17
19,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,CHANDRABHAN AABAJI PURKAR,Independent,1888,2,1890,0.15
20,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,YASHWANT VALU PARDHI,Bhartiya Asmita Party,1867,7,1874,0.15
21,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,KAILASH MARUTI CHAVAN,Aam Janta Party (India),1686,17,1703,0.14
22,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,KAMLAKAR BALASAHEB GAIKWAD,Dalit Soshit Pichhara Varg  Adhikar Dal,1639,7,1646,0.13
23,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,DHANAJI ASHOK TOPALE,Independent,1376,-,1376,0.11
24,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,BHAGYASHRI NITIN ADSUL,Indian Peoples Adhikar Party,1242,2,1244,0.1
25,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,SOPAN NIVRUTTI SOMWANSHI,Independent,1210,1,1211,0.1
26,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,ADV. ZUNJAR MHASUJI AVHAD,Bahujan Republican  Socialist Party,1205,5,1210,0.1
27,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,KOLAPPA HANUMANT DHOTRE,Independent,1198,2,1200,0.1
28,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,TILOTTAMA SUNIL JAGTAP,Independent,654,2,656,0.05
29,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,DEEPAK GAIKWAD,Independent,640,2,642,0.05
30,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,SACHINRAJE DATTATREYA DEORE,Independent,549,2,551,0.04
31,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,DEVIDAS PIRAJI SARKATE,Independent,392,2,394,0.03
32,Maharashtra,Parliamentary  Constituency  21 - Nashik (Maharashtra) ,NOTA,None of the Above,6144,41,6185,0.5
1,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),743597,5155,748752,58.45
2,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,416699,2207,418906,32.7
3,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,ANDHALKAR BHAUSAHEB RAOSAHEB,Vanchit Bahujan  Aaghadi,33221,181,33402,2.61
4,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,GOVARDHAN SUBRAO NIMBALKAR,Independent,18947,19,18966,1.48
5,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,DNYANESHWAR NAGANATHRAO KOLI,Samata Party,6459,13,6472,0.51
6,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,KAKASAHEB SANDIPAN KHOT,Independent,5707,8,5715,0.45
7,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,SANJAYKUMAR BHAGWAT WAGHMARE,Bahujan Samaj Party,5525,90,5615,0.44
8,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,KAKA FULCHAND KAMBLE,Independent,4807,4,4811,0.38
9,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,RAM HANUMANT SHENDAGE,Independent,3255,8,3263,0.25
10,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,UMAJI PANDURANG GAIKWAD,Independent,3089,6,3095,0.24
11,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,GORE NETAJI NAGNATH,Desh Janhit Party,2314,22,2336,0.18
12,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,HANUMANT LAXMAN BONDAR,Independent,2170,2,2172,0.17
13,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,NAVNATH DASHRATH UPALEKAR,Independent,2099,9,2108,0.16
14,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,SIDDIK IBRAHIM BAUDIWALE ALIAS GOLABHAI,All India Majlis-E-Ittehadul Muslimeen,2052,8,2060,0.16
15,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,ARJUN (DADA) SALGAR,Independent,1923,12,1935,0.15
16,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,ARYANRAJE KISANRAO SHINDE,Rashtriya Samaj Dal (R),1852,35,1887,0.15
17,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,SHAIKH NAUSHAD IQBAL,Swarajya Shakti Sena,1671,15,1686,0.13
18,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,SHAMRAO HARIBHAU PAWAR,Samnak Janta Party,1492,17,1509,0.12
19,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,YOGIRAJ ANANTA TAMBE,Independent,1326,10,1336,0.1
20,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,SOMNATH NANASAHEB KAMBLE,Independent,1262,6,1268,0.1
21,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,BHORE NITIN KHANDU,Independent,1195,9,1204,0.09
22,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,MANOHAR ANANDRAO PATIL,Independent,1182,8,1190,0.09
23,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,NAVNATH VISHWANATH DUDHAL,Vishva Shakti Party,1123,12,1135,0.09
24,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,NITESH SHIVAJI PAWAR,Hindrashtra Sangh,1060,19,1079,0.08
25,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,ADV. VISHVJEET VIJAYKUMAR SHINDE,Aadarsh Sangram Party,855,10,865,0.07
26,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,SHAYANI NAVANATH JADHAV,Independent,779,3,782,0.06
27,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,NITIN NAGNATH GAIKWAD,Independent,729,2,731,0.06
28,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,ADV. BHAUSAHEB ANIL BELURE,Independent,675,2,677,0.05
29,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,VILAS BHAGWAT GHADGE,Independent,604,6,610,0.05
30,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,SAMEERSINGH RAMESHCHANDRA SALVI,Independent,591,3,594,0.05
31,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,RAJKUMAR SAHEBRAO PATIL,Independent,589,4,593,0.05
32,Maharashtra,Parliamentary  Constituency  40 - Osmanabad (Maharashtra) ,NOTA,None of the Above,4250,48,4298,0.34
1,Maharashtra,Parliamentary  Constituency  22 - Palghar (Maharashtra) ,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,600208,1036,601244,43.69
2,Maharashtra,Parliamentary  Constituency  22 - Palghar (Maharashtra) ,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),416822,1116,417938,30.37
3,Maharashtra,Parliamentary  Constituency  22 - Palghar (Maharashtra) ,RAJESH RAGHUNATH PATIL,Bahujan Vikas Aaghadi,254011,506,254517,18.5
4,Maharashtra,Parliamentary  Constituency  22 - Palghar (Maharashtra) ,BHARAT SAMJI VANGA,Bahujan Samaj Party,15425,40,15465,1.12
5,Maharashtra,Parliamentary  Constituency  22 - Palghar (Maharashtra) ,MEENA KISHOR BHAD,Independent,14223,12,14235,1.03
6,Maharashtra,Parliamentary  Constituency  22 - Palghar (Maharashtra) ,VIJAYA RAJKUMAR MHATRE,Vanchit Bahujan  Aaghadi,10882,54,10936,0.79
